Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2/26/2025,14:14:42,CNR1109062965,Success,CUST151838,Prime Sedan,Hoodi,Malleshwaram,3.89,6.37,0,,0,,0,,468,9.68,4.8,3.7
2/6/2025,0:03:58,CNR6458940360,Success,CUST308852,Prime Plus,Bellandur,Electronic City,6.28,11.63,0,,0,,0,,500,29.28,4.4,3.7
2/22/2025,23:43:09,CNR3663814970,Success,CUST224261,Prime Plus,Vijayanagar,Hulimavu,8.86,12.74,0,,0,,0,,109,20.73,4.4,4
2/13/2025,8:36:41,CNR2624582903,Cancelled by Customer,CUST703113,Prime Plus,Hoodi,Richmond Town,0,0,1,Driver asked to cancel,0,,0,,0,0,0,0
2/10/2025,2:14:02,CNR5713595403,Success,CUST376969,Prime Plus,Richmond Town,Bommasandra,9.08,5.96,0,,0,,0,,688,29.84,5,4.7
2/28/2025,21:01:52,CNR1127443346,Success,CUST927254,Prime Plus,Hebbal,HSR Layout,3.6,11.5,0,,0,,0,,593,10.06,3.6,4.6
2/10/2025,21:29:15,CNR7626061144,Success,CUST390033,Mini,HSR Layout,Cunningham Road,8.77,11.68,0,,0,,0,,236,11.12,4.5,4.9
2/25/2025,22:12:17,CNR6194243987,Success,CUST176142,Mini,JP Nagar,Jayanagar,4.27,5.49,0,,0,,0,,371,13.98,3.9,3.7
2/20/2025,15:08:55,CNR5648121333,Success,CUST621462,Prime Sedan,Koramangala,Jayanagar,6.06,6.07,0,,0,,0,,151,28.82,3.9,4.3
2/26/2025,22:59:35,CNR4727845555,Success,CUST115024,Prime SUV,Bommanahalli,Hennur,6.83,4.04,0,,0,,0,,353,20.42,4.3,4.1
2/6/2025,15:27:42,CNR6348588329,Incomplete,CUST791403,Mini,KR Puram,HBR Layout,0,0,0,,0,,1,Customer Demand,0,0,0,0
2/20/2025,2:52:27,CNR6252605855,Cancelled by Customer,CUST409090,Bike,Girinagar,Nagawara,0,0,1,Driver asked to cancel,0,,0,,0,0,0,0
2/22/2025,9:53:13,CNR6522465969,Success,CUST669435,Auto,HBR Layout,Richmond Town,6.06,9.41,0,,0,,0,,820,8.29,3.5,4.2
2/5/2025,2:08:02,CNR9941209216,Cancelled by Driver,CUST342076,Auto,JP Nagar,Bellandur,0,0,0,,1,More than permitted people in there,0,,0,0,0,0
2/24/2025,22:37:19,CNR5741619939,Success,CUST829573,Bike,HBR Layout,Kaggadasapura,4.15,10.22,0,,0,,0,,496,27.19,4,3.8
2/3/2025,2:39:27,CNR2910109185,Success,CUST701708,Prime Sedan,Kanakapura Road,Hulimavu,6.84,5.28,0,,0,,0,,185,11.1,4.2,3.5
2/26/2025,12:34:26,CNR5050487194,Success,CUST847077,Prime Plus,Lavelle Road,Bannerghatta Road,5.51,9.8,0,,0,,0,,139,22.87,4.5,4
2/10/2025,15:34:58,CNR2776577043,Success,CUST381641,eBike,Bommasandra,Hulimavu,5.38,9.98,0,,0,,0,,970,5.86,3.8,5
2/3/2025,11:47:04,CNR8503644650,Success,CUST564071,Prime Plus,Basavanagudi,Kaggadasapura,5.42,11.46,0,,0,,0,,413,8.16,4,4.9
2/27/2025,8:18:39,CNR2979500838,Cancelled by Driver,CUST637454,Bike,HBR Layout,Kengeri,0,0,0,,1,The customer was coughing/sick,0,,0,0,0,0
2/3/2025,18:51:19,CNR8433910582,Cancelled by Driver,CUST222772,Prime Plus,Marathahalli,Yelahanka,0,0,0,,1,More than permitted people in there,0,,0,0,0,0
2/2/2025,23:31:53,CNR8396984280,Success,CUST555211,Prime Plus,Bellandur,Bannerghatta Road,5.07,13.55,0,,0,,0,,357,26.75,4,4.1
2/6/2025,16:16:28,CNR8977494330,Success,CUST953678,Auto,Kaggadasapura,JP Nagar,7.55,5.9,0,,0,,0,,775,9.25,4.8,4.5
2/24/2025,7:17:51,CNR7276851605,Success,CUST438871,Prime SUV,HBR Layout,JP Nagar,3.49,6.1,0,,0,,0,,384,3.35,3.9,4.4
2/28/2025,11:14:07,CNR7757829833,Success,CUST274987,Bike,Bommasandra,Richmond Town,4.9,8.32,0,,0,,0,,639,17.17,3.5,3.6
2/28/2025,17:03:03,CNR4192151556,Success,CUST636123,Bike,Girinagar,Koramangala,4.8,7.46,0,,0,,0,,120,11.4,3.8,4.5
2/15/2025,22:12:38,CNR5373297259,Success,CUST147683,Prime SUV,Whitefield,Koramangala,9.73,9.22,0,,0,,0,,121,20.76,4.9,3.7
2/23/2025,8:58:44,CNR2299649325,Cancelled by Driver,CUST255621,Bike,RT Nagar,JP Nagar,0,0,0,,1,Customer related issue,0,,0,0,0,0
2/3/2025,19:25:47,CNR8124271474,Success,CUST609389,Prime Plus,Yelahanka,Jakkur,6.85,4.29,0,,0,,0,,400,25.36,4.2,4.9
2/17/2025,19:30:50,CNR8937397023,Cancelled by Driver,CUST407750,Mini,Banaswadi,KR Puram,0,0,0,,1,Customer related issue,0,,0,0,0,0
2/9/2025,6:48:45,CNR7753336386,Success,CUST930073,Mini,Kadubeesanahalli,Nagawara,8.21,14.36,0,,0,,0,,258,8.11,4.7,3.6
